,time,triggername,triggers,node
1,2019-06-28 07:06:03,主机node_86 网卡eth0 发送流量持续30分钟平均值大于700M,网卡发送流量过高,86
2,2019-06-28 07:06:05,主机node_56 HTTP:http://*************，慢响应（调用耗时超过1000ms）次数：309次（大于阈值：200次）,HTTP:http慢响应,56
3,2019-06-28 07:06:05,主机node_69 上I/O等待负载大于50%,I/O等待负载大于50%,69
4,2019-06-28 07:06:06,"主机node_33 空闲CPU为1.52%,持续15分钟小于10%",CPU利用率过高,33
5,2019-06-28 07:06:08,主机node_3 端口80通信异常,端口80通信异常,3
6,2019-06-28 07:06:08,主机node_67 日志中有No route to host信息,日志中有Noroutetohost信息,67
7,2019-06-28 07:06:10,主机node_31 url:http://node_31:80//访问失败,url80//访问失败,31
8,2019-06-28 07:06:11,主机node_53 上CPU Steal Time持续5分钟超过10%,CPUStealTime持续5分钟超过10%,53
9,2019-06-28 07:06:11,主机node_63 上I/O等待负载大于50%,I/O等待负载大于50%,63
10,2019-06-28 07:06:14,主机node_84 日志产生ERROR信息,日志产生ERROR信息,84
11,2019-06-28 07:06:15,主机node_69 上I/O等待负载大于50%,I/O等待负载大于50%,69
12,2019-06-28 07:06:16,主机node_75 网卡流量unknown,网卡流量unknown,75
13,2019-06-28 07:06:16,主机node_54 网卡流量unknown,网卡流量unknown,54
14,2019-06-28 07:06:17,主机node_63 上I/O等待负载大于50%,I/O等待负载大于50%,63
15,2019-06-28 07:06:19,主机node_65 网卡eth0 接收流量持续10分钟平均值大于180M,网卡接收流量过高,65
16,2019-06-28 07:06:20,主机node_31 ping延迟时间持续3分钟大于100ms,ping延迟时间持续3分钟大于100ms,31
17,2019-06-28 07:06:20,主机node_74 上I/O等待负载大于50%,I/O等待负载大于50%,74
18,2019-06-28 07:06:20,主机node_73 ping延迟时间持续3分钟大于100ms,ping延迟时间持续3分钟大于100ms,73
19,2019-06-28 07:06:20,"主机node_85 空闲CPU为3.3%,持续15分钟小于10%",CPU利用率过高,85
20,2019-06-28 07:06:20,主机node_6 上CPU Steal Time持续5分钟超过10%,CPUStealTime持续5分钟超过10%,6
21,2019-06-28 07:06:21,主机node_63 上I/O等待负载大于50%,I/O等待负载大于50%,63
22,2019-06-28 07:06:21,主机node_53 上CPU Steal Time持续5分钟超过10%,CPUStealTime持续5分钟超过10%,53
23,2019-06-28 07:06:21,主机node_89 上I/O等待负载持续15分钟超过10%,I/O等待负载持续15分钟超过10%,89
24,2019-06-28 07:06:22,主机node_93 Nginx 80端口的连接数大于2000,Nginx80端口的连接数大于2000,93
25,2019-06-28 07:06:23,主机node_24 上CPU Steal Time持续5分钟超过10%,CPUStealTime持续5分钟超过10%,24
26,2019-06-28 07:06:25,主机node_90 网卡eth0 发送流量持续30分钟平均值大于700M,网卡发送流量过高,90
27,2019-06-28 07:06:27,主机node_63 上I/O等待负载大于50%,I/O等待负载大于50%,63
28,2019-06-28 07:06:28,主机node_70 **application 停止运行,**application停止运行,70
29,2019-06-28 07:06:28,主机node_11 上I/O等待负载持续15分钟超过10%,I/O等待负载持续15分钟超过10%,11
30,2019-06-28 07:06:28,主机node_3 端口80通信异常,端口80通信异常,3
31,2019-06-28 07:06:29,主机node_81 日志中有No route to host信息,日志中有Noroutetohost信息,81
32,2019-06-28 07:06:30,主机node_6 上CPU Steal Time持续5分钟超过10%,CPUStealTime持续5分钟超过10%,6
33,2019-06-28 07:06:30,主机node_31 ping延迟时间持续3分钟大于100ms,ping延迟时间持续3分钟大于100ms,31
34,2019-06-28 07:06:30,"主机node_85 空闲CPU为3.3%,持续15分钟小于10%",CPU利用率过高,85
35,2019-06-28 07:06:30,主机node_74 上I/O等待负载大于50%,I/O等待负载大于50%,74
36,2019-06-28 07:06:30,主机node_73 ping延迟时间持续3分钟大于100ms,ping延迟时间持续3分钟大于100ms,73
37,2019-06-28 07:06:35,主机node_34 端口6060通信异常,端口6060通信异常,34
38,2019-06-28 07:06:35,主机node_69 上I/O等待负载大于50%,I/O等待负载大于50%,69
39,2019-06-28 07:06:36,主机node_87 网卡eth0 接收流量持续10分钟平均值大于300M,网卡接收流量过高,87
40,2019-06-28 07:06:36,主机node_54 网卡eth0 接收流量持续10分钟平均值大于180M,网卡接收流量过高,54
41,2019-06-28 07:06:36,主机node_54 网卡流量unknown,网卡流量unknown,54
42,2019-06-28 07:06:37,主机node_62 上I/O等待负载持续15分钟超过10%,I/O等待负载持续15分钟超过10%,62
43,2019-06-28 07:06:39,主机node_22 上I/O等待负载持续15分钟超过10%,I/O等待负载持续15分钟超过10%,22
44,2019-06-28 07:06:41,主机node_53 上CPU Steal Time持续5分钟超过10%,CPUStealTime持续5分钟超过10%,53
45,2019-06-28 07:06:41,主机node_63 上I/O等待负载大于50%,I/O等待负载大于50%,63
46,2019-06-28 07:06:45,主机node_56 HTTP:http://*************，慢响应（调用耗时超过1000ms）次数：309次（大于阈值：200次）,HTTP:http慢响应,56
47,2019-06-28 07:06:45,主机node_34 端口6060通信异常,端口6060通信异常,34
48,2019-06-28 07:06:46,主机node_96 网卡eth0 接收流量持续10分钟平均值大于300M,网卡接收流量过高,96
49,2019-06-28 07:06:46,主机node_54 网卡流量unknown,网卡流量unknown,54
50,2019-06-28 07:06:46,主机node_87 网卡eth0 接收流量持续10分钟平均值大于300M,网卡接收流量过高,87
51,2019-06-28 07:06:48,主机node_70 **application 停止运行,**application停止运行,70
52,2019-06-28 07:06:48,主机node_3 端口80通信异常,端口80通信异常,3
53,2019-06-28 07:06:50,主机node_31 url:http://node_31:80//访问失败,url80//访问失败,31
54,2019-06-28 07:06:50,主机node_74 上I/O等待负载大于50%,I/O等待负载大于50%,74
55,2019-06-28 07:06:50,"主机node_85 空闲CPU为3.3%,持续15分钟小于10%",CPU利用率过高,85
56,2019-06-28 07:06:50,主机node_6 上CPU Steal Time持续5分钟超过10%,CPUStealTime持续5分钟超过10%,6
57,2019-06-28 07:06:50,主机node_31 ping延迟时间持续3分钟大于100ms,ping延迟时间持续3分钟大于100ms,31
58,2019-06-28 07:06:50,主机node_73 ping延迟时间持续3分钟大于100ms,ping延迟时间持续3分钟大于100ms,73
59,2019-06-28 07:06:51,主机node_53 上CPU Steal Time持续5分钟超过10%,CPUStealTime持续5分钟超过10%,53
60,2019-06-28 07:06:51,主机node_63 上I/O等待负载大于50%,I/O等待负载大于50%,63
61,2019-06-28 07:06:53,主机node_86 网卡eth0 发送流量持续30分钟平均值大于700M,网卡发送流量过高,86
62,2019-06-28 07:06:54,主机node_21 上CPU Steal Time持续5分钟超过10%,CPUStealTime持续5分钟超过10%,21
63,2019-06-28 07:06:55,主机node_69 上I/O等待负载大于50%,I/O等待负载大于50%,69
64,2019-06-28 07:06:56,主机node_54 网卡流量unknown,网卡流量unknown,54
65,2019-06-28 07:06:56,主机node_87 网卡eth0 接收流量持续10分钟平均值大于300M,网卡接收流量过高,87
66,2019-06-28 07:06:56,主机node_54 网卡eth0 接收流量持续10分钟平均值大于180M,网卡接收流量过高,54
67,2019-06-28 07:06:57,主机node_68 日志产生ERROR信息,日志产生ERROR信息,68
68,2019-06-28 07:06:58,主机node_80 **application 停止运行,**application停止运行,80
69,2019-06-28 07:06:58,主机node_99 日志产生ERROR信息,日志产生ERROR信息,99
70,2019-06-28 07:06:59,主机node_81 日志中有No route to host信息,日志中有Noroutetohost信息,81
71,2019-06-28 07:07:01,主机node_53 上CPU Steal Time持续5分钟超过10%,CPUStealTime持续5分钟超过10%,53
72,2019-06-28 07:07:01,主机node_89 上I/O等待负载持续15分钟超过10%,I/O等待负载持续15分钟超过10%,89
73,2019-06-28 07:07:01,主机node_89 url:http://node_89:8080访问失败,url8080访问失败,89
74,2019-06-28 07:07:01,主机node_63 上I/O等待负载大于50%,I/O等待负载大于50%,63
75,2019-06-28 07:07:02,主机node_10 网卡流量unknown,网卡流量unknown,10
76,2019-06-28 07:07:03,主机node_86 网卡eth0 发送流量持续30分钟平均值大于700M,网卡发送流量过高,86
77,2019-06-28 07:07:05,主机node_43 硬盘Slot 00状态为Failed,硬盘Slot00状态为Failed,43
78,2019-06-28 07:07:06,主机node_75 网卡流量unknown,网卡流量unknown,75
79,2019-06-28 07:07:06,主机node_87 网卡eth0 接收流量持续10分钟平均值大于300M,网卡接收流量过高,87
80,2019-06-28 07:07:06,主机node_54 网卡流量unknown,网卡流量unknown,54
81,2019-06-28 07:07:07,主机node_63 上I/O等待负载大于50%,I/O等待负载大于50%,63
82,2019-06-28 07:07:07,主机node_62 上I/O等待负载持续15分钟超过10%,I/O等待负载持续15分钟超过10%,62
83,2019-06-28 07:07:11,主机node_63 上I/O等待负载大于50%,I/O等待负载大于50%,63
84,2019-06-28 07:07:11,主机node_53 上CPU Steal Time持续5分钟超过10%,CPUStealTime持续5分钟超过10%,53
85,2019-06-28 07:07:15,主机node_69 上I/O等待负载大于50%,I/O等待负载大于50%,69
86,2019-06-28 07:07:16,主机node_54 网卡流量unknown,网卡流量unknown,54
87,2019-06-28 07:07:17,"主机node_95 ping丢包率100%,服务器宕机","ping丢包率100%,服务器宕机",95
88,2019-06-28 07:07:18,主机node_35 上I/O等待负载持续15分钟超过10%,I/O等待负载持续15分钟超过10%,35
89,2019-06-28 07:07:20,主机node_47 JBOSS 8080端口的连接数大于400,JBOSS8080端口的连接数大于400,47
90,2019-06-28 07:07:21,主机node_89 上I/O等待负载持续15分钟超过10%,I/O等待负载持续15分钟超过10%,89
91,2019-06-28 07:07:23,主机node_85 ping延迟时间持续3分钟大于100ms,ping延迟时间持续3分钟大于100ms,85
92,2019-06-28 07:07:24,主机node_21 上CPU Steal Time持续5分钟超过10%,CPUStealTime持续5分钟超过10%,21
93,2019-06-28 07:07:24,主机node_48 硬盘Slot 00状态为Failed,硬盘Slot00状态为Failed,48
94,2019-06-28 07:07:25,主机node_29 硬盘Slot 00状态为Failed,硬盘Slot00状态为Failed,29
95,2019-06-28 07:07:25,主机node_90 网卡eth0 发送流量持续30分钟平均值大于700M,网卡发送流量过高,90
96,2019-06-28 07:07:26,主机node_96 网卡eth0 接收流量持续10分钟平均值大于300M,网卡接收流量过高,96
97,2019-06-28 07:07:26,"主机node_33 空闲CPU为1.52%,持续15分钟小于10%",CPU利用率过高,33
98,2019-06-28 07:07:27,主机node_42 **** 请求延时大于5分钟,****请求延时大于5分钟,42
99,2019-06-28 07:07:30,主机node_73 ping延迟时间持续3分钟大于100ms,ping延迟时间持续3分钟大于100ms,73
100,2019-06-28 07:07:30,主机node_31 ping延迟时间持续3分钟大于100ms,ping延迟时间持续3分钟大于100ms,31
101,2019-06-28 07:07:30,"主机node_85 空闲CPU为3.3%,持续15分钟小于10%",CPU利用率过高,85
102,2019-06-28 07:07:30,主机node_6 上CPU Steal Time持续5分钟超过10%,CPUStealTime持续5分钟超过10%,6
103,2019-06-28 07:07:30,主机node_74 上I/O等待负载大于50%,I/O等待负载大于50%,74
104,2019-06-28 07:07:31,主机node_89 上I/O等待负载持续15分钟超过10%,I/O等待负载持续15分钟超过10%,89
105,2019-06-28 07:07:31,主机node_53 上CPU Steal Time持续5分钟超过10%,CPUStealTime持续5分钟超过10%,53
106,2019-06-28 07:07:31,主机node_63 上I/O等待负载大于50%,I/O等待负载大于50%,63
107,2019-06-28 07:07:33,主机node_36 url:http://node_36:8080访问失败,url8080访问失败,36
108,2019-06-28 07:07:35,主机node_90 网卡eth0 发送流量持续30分钟平均值大于700M,网卡发送流量过高,90
109,2019-06-28 07:07:35,主机node_43 硬盘Slot 00状态为Failed,硬盘Slot00状态为Failed,43
110,2019-06-28 07:07:36,主机node_54 网卡流量unknown,网卡流量unknown,54
111,2019-06-28 07:07:36,"主机node_33 空闲CPU为1.52%,持续15分钟小于10%",CPU利用率过高,33
112,2019-06-28 07:07:37,主机node_68 日志产生ERROR信息,日志产生ERROR信息,68
113,2019-06-28 07:07:37,主机node_74 上CPU Steal Time持续5分钟超过10%,CPUStealTime持续5分钟超过10%,74
114,2019-06-28 07:07:38,主机node_3 端口80通信异常,端口80通信异常,3
115,2019-06-28 07:07:38,主机node_99 日志产生ERROR信息,日志产生ERROR信息,99
116,2019-06-28 07:07:40,主机node_31 ping延迟时间持续3分钟大于100ms,ping延迟时间持续3分钟大于100ms,31
117,2019-06-28 07:07:40,主机node_74 上I/O等待负载大于50%,I/O等待负载大于50%,74
118,2019-06-28 07:07:40,主机node_47 JBOSS 8080端口的连接数大于400,JBOSS8080端口的连接数大于400,47
119,2019-06-28 07:07:40,"主机node_85 空闲CPU为3.3%,持续15分钟小于10%",CPU利用率过高,85
120,2019-06-28 07:07:40,主机node_73 ping延迟时间持续3分钟大于100ms,ping延迟时间持续3分钟大于100ms,73
121,2019-06-28 07:07:40,主机node_6 上CPU Steal Time持续5分钟超过10%,CPUStealTime持续5分钟超过10%,6
122,2019-06-28 07:07:40,主机node_31 url:http://node_31:80//访问失败,url80//访问失败,31
123,2019-06-28 07:07:41,主机node_8 日志中有No route to host信息,日志中有Noroutetohost信息,8
