,time,triggername,triggers,node
1,2019-06-24 19:19:11,主机node_8 FullGC次数：23次（大于阈值：10次）,FullGC次数异常,8
2,2019-06-24 19:19:12,主机node_75 网卡eth0 发送流量持续10分钟平均值大于800M,网卡发送流量过高,75
3,2019-06-24 19:19:12,主机node_30 Nginx 80端口的连接数大于2000,Nginx80端口的连接数大于2000,30
4,2019-06-24 19:19:13,主机node_33 网卡eth0 接收流量持续10分钟平均值大于180M,网卡接收流量过高,33
5,2019-06-24 19:19:14,主机node_16 端口6060通信异常,端口6060通信异常,16
6,2019-06-24 19:19:14,主机node_58 上CPU Steal Time持续5分钟超过10%,CPUStealTime持续5分钟超过10%,58
7,2019-06-24 19:19:15,主机node_96 ping延迟时间持续3分钟大于100ms,ping延迟时间持续3分钟大于100ms,96
8,2019-06-24 19:19:15,主机node_25 日志中有No route to host信息,日志中有Noroutetohost信息,25
9,2019-06-24 19:19:17,主机node_86 网卡eth0 发送流量持续10分钟平均值大于800M,网卡发送流量过高,86
10,2019-06-24 19:19:22,主机node_75 网卡eth0 发送流量持续10分钟平均值大于800M,网卡发送流量过高,75
11,2019-06-24 19:19:23,主机node_33 网卡eth0 接收流量持续10分钟平均值大于180M,网卡接收流量过高,33
12,2019-06-24 19:19:24,主机node_16 端口6060通信异常,端口6060通信异常,16
13,2019-06-24 19:19:24,主机node_19 日志产生ERROR信息,日志产生ERROR信息,19
14,2019-06-24 19:19:25,主机node_94 网卡eth0 接收流量持续10分钟平均值大于300M,网卡接收流量过高,94
15,2019-06-24 19:19:25,主机node_96 ping延迟时间持续3分钟大于100ms,ping延迟时间持续3分钟大于100ms,96
16,2019-06-24 19:19:26,主机node_45 空闲交换空间小于50%,空闲交换空间小于50%,45
17,2019-06-24 19:19:27,主机node_86 网卡eth0 发送流量持续10分钟平均值大于800M,网卡发送流量过高,86
18,2019-06-24 19:19:28,"主机node_49 空闲CPU为4.0%,持续15分钟小于10%",CPU利用率过高,49
19,2019-06-24 19:19:31,主机node_8 FullGC次数：23次（大于阈值：10次）,FullGC次数异常,8
20,2019-06-24 19:19:31,"主机node_48 ping丢包率100%,服务器宕机","ping丢包率100%,服务器宕机",48
21,2019-06-24 19:19:35,主机node_96 ping延迟时间持续3分钟大于100ms,ping延迟时间持续3分钟大于100ms,96
22,2019-06-24 19:19:36,主机node_29 端口80通信异常,端口80通信异常,29
23,2019-06-24 19:19:38,"主机node_69 空闲CPU为1.52%,持续15分钟小于10%",CPU利用率过高,69
24,2019-06-24 19:19:40,"主机node_84 ping丢包率100%,服务器宕机","ping丢包率100%,服务器宕机",84
25,2019-06-24 19:19:40,主机node_20 日志中有OutOfMemoryError信息,日志中有OutOfMemoryError信息,20
26,2019-06-24 19:19:42,主机node_75 网卡eth0 发送流量持续10分钟平均值大于800M,网卡发送流量过高,75
27,2019-06-24 19:19:43,主机node_33 网卡eth0 接收流量持续10分钟平均值大于180M,网卡接收流量过高,33
28,2019-06-24 19:19:45,主机node_96 ping延迟时间持续3分钟大于100ms,ping延迟时间持续3分钟大于100ms,96
29,2019-06-24 19:19:47,主机node_86 网卡eth0 发送流量持续10分钟平均值大于800M,网卡发送流量过高,86
30,2019-06-24 19:19:50,主机node_20 日志中有OutOfMemoryError信息,日志中有OutOfMemoryError信息,20
31,2019-06-24 19:19:50,主机node_35 堆内存平均使用率：94.61%（大于阈值：90%）,堆内存平均使用率大于阈值,35
32,2019-06-24 19:19:51,主机node_8 FullGC次数：23次（大于阈值：10次）,FullGC次数异常,8
33,2019-06-24 19:19:52,主机node_75 网卡eth0 发送流量持续10分钟平均值大于800M,网卡发送流量过高,75
34,2019-06-24 19:19:53,主机node_17 Nginx 80端口的连接数大于2000,Nginx80端口的连接数大于2000,17
35,2019-06-24 19:19:55,主机node_96 ping延迟时间持续3分钟大于100ms,ping延迟时间持续3分钟大于100ms,96
36,2019-06-24 19:19:57,主机node_86 网卡eth0 发送流量持续10分钟平均值大于800M,网卡发送流量过高,86
37,2019-06-24 19:20:00,"主机node_84 ping丢包率100%,服务器宕机","ping丢包率100%,服务器宕机",84
38,2019-06-24 19:20:03,主机node_33 网卡eth0 接收流量持续10分钟平均值大于180M,网卡接收流量过高,33
39,2019-06-24 19:20:05,主机node_96 ping延迟时间持续3分钟大于100ms,ping延迟时间持续3分钟大于100ms,96
40,2019-06-24 19:20:05,主机node_97 ping丢包率当前值为25%，持续2分钟平均大于20%,ping丢包率当前值为25%，持续2分钟平均大于20%,97
41,2019-06-24 19:20:05,主机node_94 网卡eth0 接收流量持续10分钟平均值大于300M,网卡接收流量过高,94
42,2019-06-24 19:20:07,主机node_86 网卡eth0 发送流量持续10分钟平均值大于800M,网卡发送流量过高,86
43,2019-06-24 19:20:09,主机node_32 sdd IO使用率持续30分钟大于90%,磁盘I/O异常,32
44,2019-06-24 19:20:12,主机node_75 网卡eth0 发送流量持续10分钟平均值大于800M,网卡发送流量过高,75
45,2019-06-24 19:20:13,主机node_33 网卡eth0 接收流量持续10分钟平均值大于180M,网卡接收流量过高,33
46,2019-06-24 19:20:15,主机node_96 ping延迟时间持续3分钟大于100ms,ping延迟时间持续3分钟大于100ms,96
47,2019-06-24 19:20:18,主机node_59 网卡eth0 发送流量持续30分钟平均值大于700M,网卡发送流量过高,59
48,2019-06-24 19:20:18,主机node_90 上I/O等待负载大于50%,I/O等待负载大于50%,90
49,2019-06-24 19:20:19,主机node_5 JBOSS 8080端口的连接数大于400,JBOSS8080端口的连接数大于400,5
50,2019-06-24 19:20:21,"主机node_48 ping丢包率100%,服务器宕机","ping丢包率100%,服务器宕机",48
51,2019-06-24 19:20:22,主机node_77 ping丢包率当前值为25%，持续2分钟平均大于20%,ping丢包率当前值为25%，持续2分钟平均大于20%,77
52,2019-06-24 19:20:23,主机node_33 网卡eth0 接收流量持续10分钟平均值大于180M,网卡接收流量过高,33
53,2019-06-24 19:20:24,主机node_79 日志产生ERROR信息,日志产生ERROR信息,79
54,2019-06-24 19:20:27,主机node_86 网卡eth0 发送流量持续10分钟平均值大于800M,网卡发送流量过高,86
55,2019-06-24 19:20:28,"主机node_49 空闲CPU为4.0%,持续15分钟小于10%",CPU利用率过高,49
56,2019-06-24 19:20:28,主机node_68 JBOSS 8080端口的连接数大于400,JBOSS8080端口的连接数大于400,68
57,2019-06-24 19:20:31,主机node_8 FullGC次数：23次（大于阈值：10次）,FullGC次数异常,8
58,2019-06-24 19:20:33,主机node_33 网卡eth0 接收流量持续10分钟平均值大于180M,网卡接收流量过高,33
59,2019-06-24 19:20:40,主机node_98 HTTP:http://*************，慢响应（调用耗时超过1000ms）次数：309次（大于阈值：200次）,HTTP:http慢响应,98
60,2019-06-24 19:20:41,主机node_8 FullGC次数：23次（大于阈值：10次）,FullGC次数异常,8
61,2019-06-24 19:20:42,主机node_75 网卡eth0 发送流量持续10分钟平均值大于800M,网卡发送流量过高,75
62,2019-06-24 19:20:43,主机node_33 网卡eth0 接收流量持续10分钟平均值大于180M,网卡接收流量过高,33
63,2019-06-24 19:20:45,主机node_96 ping延迟时间持续3分钟大于100ms,ping延迟时间持续3分钟大于100ms,96
64,2019-06-24 19:20:48,"主机node_49 空闲CPU为4.0%,持续15分钟小于10%",CPU利用率过高,49
65,2019-06-24 19:20:48,主机node_68 JBOSS 8080端口的连接数大于400,JBOSS8080端口的连接数大于400,68
66,2019-06-24 19:20:50,主机node_35 堆内存平均使用率：94.61%（大于阈值：90%）,堆内存平均使用率大于阈值,35
67,2019-06-24 19:20:51,"主机node_48 ping丢包率100%,服务器宕机","ping丢包率100%,服务器宕机",48
68,2019-06-24 19:20:51,主机node_8 FullGC次数：23次（大于阈值：10次）,FullGC次数异常,8
69,2019-06-24 19:20:52,主机node_30 Nginx 80端口的连接数大于2000,Nginx80端口的连接数大于2000,30
70,2019-06-24 19:20:52,主机node_75 网卡eth0 发送流量持续10分钟平均值大于800M,网卡发送流量过高,75
71,2019-06-24 19:20:52,主机node_77 ping丢包率当前值为25%，持续2分钟平均大于20%,ping丢包率当前值为25%，持续2分钟平均大于20%,77
72,2019-06-24 19:20:53,主机node_33 网卡eth0 接收流量持续10分钟平均值大于180M,网卡接收流量过高,33
73,2019-06-24 19:20:55,主机node_96 ping延迟时间持续3分钟大于100ms,ping延迟时间持续3分钟大于100ms,96
74,2019-06-24 19:20:57,主机node_4 网卡eth0 接收流量持续10分钟平均值大于180M,网卡接收流量过高,4
75,2019-06-24 19:20:57,主机node_24 网卡eth0 发送流量持续30分钟平均值大于700M,网卡发送流量过高,24
76,2019-06-24 19:21:01,主机node_8 FullGC次数：23次（大于阈值：10次）,FullGC次数异常,8
77,2019-06-24 19:21:05,主机node_94 网卡eth0 接收流量持续10分钟平均值大于300M,网卡接收流量过高,94
78,2019-06-24 19:21:07,主机node_86 网卡eth0 发送流量持续10分钟平均值大于800M,网卡发送流量过高,86
79,2019-06-24 19:21:11,主机node_8 FullGC次数：23次（大于阈值：10次）,FullGC次数异常,8
80,2019-06-24 19:21:12,主机node_75 网卡eth0 发送流量持续10分钟平均值大于800M,网卡发送流量过高,75
81,2019-06-24 19:21:13,主机node_33 网卡eth0 接收流量持续10分钟平均值大于180M,网卡接收流量过高,33
82,2019-06-24 19:21:13,主机node_40 堆内存平均使用率：94.61%（大于阈值：90%）,堆内存平均使用率大于阈值,40
