,time,triggername,triggers,node
1,2019-06-16 16:43:09,主机node_1 网卡流量unknown,网卡流量unknown,1
2,2019-06-16 16:43:09,主机node_84 日志报错:无法获取连接,日志报错:无法获取连接,84
3,2019-06-16 16:43:09,主机node_44 ping延迟时间持续3分钟大于100ms,ping延迟时间持续3分钟大于100ms,44
4,2019-06-16 16:43:10,主机node_45 上I/O等待负载大于50%,I/O等待负载大于50%,45
5,2019-06-16 16:43:10,主机node_49 上I/O等待负载大于50%,I/O等待负载大于50%,49
6,2019-06-16 16:43:11,主机node_6 网卡eth0 发送流量持续10分钟平均值大于800M,网卡发送流量过高,6
7,2019-06-16 16:43:12,主机node_75 网卡eth0 接收流量持续10分钟平均值大于180M,网卡接收流量过高,75
8,2019-06-16 16:43:12,主机node_80 JBOSS 8080端口的连接数大于400,JBOSS8080端口的连接数大于400,80
9,2019-06-16 16:43:14,"主机node_88 空闲CPU为4.0%,持续15分钟小于10%",CPU利用率过高,88
10,2019-06-16 16:43:16,主机node_93 日志产生ERROR信息,日志产生ERROR信息,93
11,2019-06-16 16:43:19,主机node_84 日志报错:无法获取连接,日志报错:无法获取连接,84
12,2019-06-16 16:43:19,主机node_19 网卡eth0 发送流量持续10分钟平均值大于800M,网卡发送流量过高,19
13,2019-06-16 16:43:21,主机node_6 网卡eth0 发送流量持续10分钟平均值大于800M,网卡发送流量过高,6
14,2019-06-16 16:43:22,主机node_86 **application 停止运行,**application停止运行,86
15,2019-06-16 16:43:22,主机node_75 网卡eth0 接收流量持续10分钟平均值大于180M,网卡接收流量过高,75
16,2019-06-16 16:43:23,主机node_56 日志报错:无法获取连接,日志报错:无法获取连接,56
17,2019-06-16 16:43:23,主机node_63 ping延迟时间持续3分钟大于100ms,ping延迟时间持续3分钟大于100ms,63
18,2019-06-16 16:43:23,主机node_94 url:http://node_94:80//访问失败,url80//访问失败,94
19,2019-06-16 16:43:26,主机node_93 日志产生ERROR信息,日志产生ERROR信息,93
20,2019-06-16 16:43:28,主机node_23 日志中有No route to host信息,日志中有Noroutetohost信息,23
21,2019-06-16 16:43:29,主机node_19 网卡eth0 发送流量持续10分钟平均值大于800M,网卡发送流量过高,19
22,2019-06-16 16:43:31,主机node_72 日志中有OutOfMemoryError信息,日志中有OutOfMemoryError信息,72
23,2019-06-16 16:43:31,主机node_6 网卡eth0 发送流量持续10分钟平均值大于800M,网卡发送流量过高,6
24,2019-06-16 16:43:33,主机node_76 日志产生ERROR信息,日志产生ERROR信息,76
25,2019-06-16 16:43:35,主机node_78 硬盘Slot 00状态为Failed,硬盘Slot00状态为Failed,78
26,2019-06-16 16:43:36,主机node_96 端口6060通信异常,端口6060通信异常,96
27,2019-06-16 16:43:37,主机node_62 网卡eth0 接收流量持续10分钟平均值大于180M,网卡接收流量过高,62
28,2019-06-16 16:43:38,主机node_43 **** 请求延时大于5分钟,****请求延时大于5分钟,43
29,2019-06-16 16:43:39,主机node_50 网卡eth0 发送流量持续30分钟平均值大于700M,网卡发送流量过高,50
30,2019-06-16 16:43:39,主机node_52 网卡eth0 接收流量持续10分钟平均值大于180M,网卡接收流量过高,52
31,2019-06-16 16:43:40,主机node_49 上I/O等待负载大于50%,I/O等待负载大于50%,49
32,2019-06-16 16:43:40,主机node_47 上I/O等待负载大于50%,I/O等待负载大于50%,47
33,2019-06-16 16:43:41,主机node_6 网卡eth0 发送流量持续10分钟平均值大于800M,网卡发送流量过高,6
34,2019-06-16 16:43:41,主机node_9 sdd IO使用率持续30分钟大于90%,磁盘I/O异常,9
35,2019-06-16 16:43:42,主机node_38 上I/O等待负载大于50%,I/O等待负载大于50%,38
36,2019-06-16 16:43:44,"主机node_88 空闲CPU为4.0%,持续15分钟小于10%",CPU利用率过高,88
37,2019-06-16 16:43:46,主机node_93 日志产生ERROR信息,日志产生ERROR信息,93
38,2019-06-16 16:43:47,主机node_67 上CPU Steal Time持续5分钟超过10%,CPUStealTime持续5分钟超过10%,67
39,2019-06-16 16:43:49,主机node_19 网卡eth0 发送流量持续10分钟平均值大于800M,网卡发送流量过高,19
40,2019-06-16 16:43:52,主机node_75 网卡eth0 接收流量持续10分钟平均值大于180M,网卡接收流量过高,75
41,2019-06-16 16:43:54,"主机node_88 空闲CPU为4.0%,持续15分钟小于10%",CPU利用率过高,88
42,2019-06-16 16:43:56,主机node_2 ping延迟时间持续3分钟大于100ms,ping延迟时间持续3分钟大于100ms,2
43,2019-06-16 16:43:57,主机node_67 上CPU Steal Time持续5分钟超过10%,CPUStealTime持续5分钟超过10%,67
44,2019-06-16 16:43:58,主机node_23 日志中有No route to host信息,日志中有Noroutetohost信息,23
45,2019-06-16 16:43:59,主机node_52 网卡eth0 接收流量持续10分钟平均值大于180M,网卡接收流量过高,52
46,2019-06-16 16:43:59,主机node_44 ping延迟时间持续3分钟大于100ms,ping延迟时间持续3分钟大于100ms,44
47,2019-06-16 16:44:02,主机node_75 网卡eth0 接收流量持续10分钟平均值大于180M,网卡接收流量过高,75
48,2019-06-16 16:44:03,主机node_82 ping丢包率当前值为25%，持续2分钟平均大于20%,ping丢包率当前值为25%，持续2分钟平均大于20%,82
49,2019-06-16 16:44:03,主机node_56 日志报错:无法获取连接,日志报错:无法获取连接,56
50,2019-06-16 16:44:04,"主机node_88 空闲CPU为4.0%,持续15分钟小于10%",CPU利用率过高,88
51,2019-06-16 16:44:04,主机node_39 **** 请求延时大于5分钟,****请求延时大于5分钟,39
52,2019-06-16 16:44:07,主机node_29 网卡eth0 发送流量持续10分钟平均值大于800M,网卡发送流量过高,29
