,time,triggername,triggers,node
1,2019-06-27 18:42:15,主机node_23 网卡eth0 接收流量持续10分钟平均值大于300M,网卡接收流量过高,23
2,2019-06-27 18:42:16,主机node_55 url:http://node_55:8080访问失败,url8080访问失败,55
3,2019-06-27 18:42:16,主机node_92 端口6060通信异常,端口6060通信异常,92
4,2019-06-27 18:42:16,主机node_40 JBOSS 8080端口的连接数大于400,JBOSS8080端口的连接数大于400,40
5,2019-06-27 18:42:18,主机node_10 日志产生ERROR信息,日志产生ERROR信息,10
6,2019-06-27 18:42:18,主机node_96 **application 停止运行,**application停止运行,96
7,2019-06-27 18:42:19,主机node_49 FullGC平均耗时：2118ms（大于阈值：1000ms）,FullGC平均耗时异常,49
8,2019-06-27 18:42:19,主机node_46 url:http://node_46:80//访问失败,url80//访问失败,46
9,2019-06-27 18:42:19,主机node_87 HTTP:http://*************，慢响应（调用耗时超过1000ms）次数：309次（大于阈值：200次）,HTTP:http慢响应,87
10,2019-06-27 18:42:20,主机node_25 日志产生ERROR信息,日志产生ERROR信息,25
11,2019-06-27 18:42:21,主机node_9 上I/O等待负载持续15分钟超过10%,I/O等待负载持续15分钟超过10%,9
12,2019-06-27 18:42:21,主机node_90 url:http://node_90:8080访问失败,url8080访问失败,90
13,2019-06-27 18:42:22,主机node_53 JBOSS 8080端口的连接数大于400,JBOSS8080端口的连接数大于400,53
14,2019-06-27 18:42:25,主机node_98 JBOSS 8080端口的连接数大于400,JBOSS8080端口的连接数大于400,98
15,2019-06-27 18:42:26,主机node_85 网卡eth0 发送流量持续10分钟平均值大于800M,网卡发送流量过高,85
16,2019-06-27 18:42:26,主机node_92 端口6060通信异常,端口6060通信异常,92
17,2019-06-27 18:42:27,主机node_64 ping延迟时间持续3分钟大于100ms,ping延迟时间持续3分钟大于100ms,64
18,2019-06-27 18:42:27,主机node_96 上I/O等待负载持续15分钟超过10%,I/O等待负载持续15分钟超过10%,96
19,2019-06-27 18:42:27,主机node_29 上I/O等待负载持续15分钟超过10%,I/O等待负载持续15分钟超过10%,29
20,2019-06-27 18:42:30,主机node_3 网卡eth0 接收流量持续10分钟平均值大于180M,网卡接收流量过高,3
21,2019-06-27 18:42:32,主机node_79 ping延迟时间持续3分钟大于100ms,ping延迟时间持续3分钟大于100ms,79
22,2019-06-27 18:42:32,主机node_68 日志中有No route to host信息,日志中有Noroutetohost信息,68
23,2019-06-27 18:42:32,主机node_53 JBOSS 8080端口的连接数大于400,JBOSS8080端口的连接数大于400,53
24,2019-06-27 18:42:34,主机node_43 上I/O等待负载大于50%,I/O等待负载大于50%,43
25,2019-06-27 18:42:37,主机node_64 ping延迟时间持续3分钟大于100ms,ping延迟时间持续3分钟大于100ms,64
26,2019-06-27 18:42:37,主机node_96 上I/O等待负载持续15分钟超过10%,I/O等待负载持续15分钟超过10%,96
27,2019-06-27 18:42:39,"主机node_7 ping丢包率100%,服务器宕机","ping丢包率100%,服务器宕机",7
28,2019-06-27 18:42:40,主机node_61 Nginx 80端口的连接数大于2000,Nginx80端口的连接数大于2000,61
29,2019-06-27 18:42:40,主机node_48 上CPU Steal Time持续5分钟超过10%,CPUStealTime持续5分钟超过10%,48
30,2019-06-27 18:42:40,主机node_3 网卡eth0 接收流量持续10分钟平均值大于180M,网卡接收流量过高,3
31,2019-06-27 18:42:40,主机node_89 上I/O等待负载持续15分钟超过10%,I/O等待负载持续15分钟超过10%,89
32,2019-06-27 18:42:40,主机node_59 上I/O等待负载大于50%,I/O等待负载大于50%,59
33,2019-06-27 18:42:41,主机node_2 url:http://node_2:80//访问失败,url80//访问失败,2
34,2019-06-27 18:42:42,主机node_53 JBOSS 8080端口的连接数大于400,JBOSS8080端口的连接数大于400,53
35,2019-06-27 18:42:45,主机node_84 空闲交换空间小于50%,空闲交换空间小于50%,84
36,2019-06-27 18:42:46,主机node_30 **** 请求延时大于5分钟,****请求延时大于5分钟,30
37,2019-06-27 18:42:46,主机node_92 端口6060通信异常,端口6060通信异常,92
38,2019-06-27 18:42:47,主机node_64 ping延迟时间持续3分钟大于100ms,ping延迟时间持续3分钟大于100ms,64
39,2019-06-27 18:42:47,主机node_96 上I/O等待负载持续15分钟超过10%,I/O等待负载持续15分钟超过10%,96
40,2019-06-27 18:42:47,主机node_80 Nginx 80端口的连接数大于2000,Nginx80端口的连接数大于2000,80
41,2019-06-27 18:42:48,主机node_97 分区剩余空间小于阀值10%,分区剩余空间小于阀值10%,97
42,2019-06-27 18:42:50,主机node_3 网卡eth0 接收流量持续10分钟平均值大于180M,网卡接收流量过高,3
43,2019-06-27 18:42:51,主机node_90 url:http://node_90:8080访问失败,url8080访问失败,90
44,2019-06-27 18:42:51,主机node_9 上I/O等待负载持续15分钟超过10%,I/O等待负载持续15分钟超过10%,9
45,2019-06-27 18:42:52,主机node_91 JBOSS 8080端口的连接数大于400,JBOSS8080端口的连接数大于400,91
46,2019-06-27 18:42:53,主机node_60 日志报错:无法获取连接,日志报错:无法获取连接,60
