,time,triggername,triggers,node
1,2019-06-12 09:00:11,"主机node_94 空闲CPU为4.0%,持续15分钟小于10%",CPU利用率过高,94
2,2019-06-12 09:00:12,主机node_38 FullGC平均耗时：3268ms（大于阈值：1000ms）,FullGC平均耗时异常,38
3,2019-06-12 09:00:12,主机node_84 FullGC平均耗时：3268ms（大于阈值：1000ms）,FullGC平均耗时异常,84
4,2019-06-12 09:00:14,主机node_4 网卡eth0 接收流量持续10分钟平均值大于180M,网卡接收流量过高,4
5,2019-06-12 09:00:14,主机node_53 **application 停止运行,**application停止运行,53
6,2019-06-12 09:00:15,"主机node_63 ping丢包率100%,服务器宕机","ping丢包率100%,服务器宕机",63
7,2019-06-12 09:00:16,主机node_3 **** 请求延时大于5分钟,****请求延时大于5分钟,3
8,2019-06-12 09:00:16,主机node_17 上I/O等待负载持续15分钟超过10%,I/O等待负载持续15分钟超过10%,17
9,2019-06-12 09:00:16,主机node_52 堆内存平均使用率：92.69%（大于阈值：90%）,堆内存平均使用率大于阈值,52
10,2019-06-12 09:00:18,主机node_69 FullGC平均耗时：2118ms（大于阈值：1000ms）,FullGC平均耗时异常,69
11,2019-06-12 09:00:18,主机node_80 上I/O等待负载持续15分钟超过10%,I/O等待负载持续15分钟超过10%,80
12,2019-06-12 09:00:19,主机node_73 分区剩余空间小于阀值10%,分区剩余空间小于阀值10%,73
13,2019-06-12 09:00:20,主机node_49 上I/O等待负载大于50%,I/O等待负载大于50%,49
14,2019-06-12 09:00:21,"主机node_94 空闲CPU为4.0%,持续15分钟小于10%",CPU利用率过高,94
15,2019-06-12 09:00:22,主机node_84 FullGC平均耗时：3268ms（大于阈值：1000ms）,FullGC平均耗时异常,84
16,2019-06-12 09:00:26,"主机node_72 空闲CPU为1.52%,持续15分钟小于10%",CPU利用率过高,72
17,2019-06-12 09:00:26,主机node_43 url:http://node_43:80//访问失败,url80//访问失败,43
18,2019-06-12 09:00:28,主机node_12 FullGC平均耗时：3268ms（大于阈值：1000ms）,FullGC平均耗时异常,12
19,2019-06-12 09:00:29,主机node_73 分区剩余空间小于阀值10%,分区剩余空间小于阀值10%,73
20,2019-06-12 09:00:32,主机node_38 FullGC平均耗时：3268ms（大于阈值：1000ms）,FullGC平均耗时异常,38
21,2019-06-12 09:00:33,主机node_8 **** 请求延时大于5分钟,****请求延时大于5分钟,8
22,2019-06-12 09:00:34,主机node_4 网卡eth0 接收流量持续10分钟平均值大于180M,网卡接收流量过高,4
23,2019-06-12 09:00:36,"主机node_72 空闲CPU为1.52%,持续15分钟小于10%",CPU利用率过高,72
24,2019-06-12 09:00:36,主机node_28 网卡eth0 接收流量持续10分钟平均值大于180M,网卡接收流量过高,28
25,2019-06-12 09:00:36,主机node_52 堆内存平均使用率：92.69%（大于阈值：90%）,堆内存平均使用率大于阈值,52
26,2019-06-12 09:00:36,主机node_3 **** 请求延时大于5分钟,****请求延时大于5分钟,3
27,2019-06-12 09:00:38,主机node_12 FullGC平均耗时：3268ms（大于阈值：1000ms）,FullGC平均耗时异常,12
28,2019-06-12 09:00:38,主机node_69 FullGC平均耗时：2118ms（大于阈值：1000ms）,FullGC平均耗时异常,69
29,2019-06-12 09:00:39,主机node_87 网卡eth0 发送流量持续10分钟平均值大于800M,网卡发送流量过高,87
30,2019-06-12 09:00:40,主机node_49 上I/O等待负载大于50%,I/O等待负载大于50%,49
31,2019-06-12 09:00:41,"主机node_94 空闲CPU为4.0%,持续15分钟小于10%",CPU利用率过高,94
32,2019-06-12 09:00:42,主机node_38 FullGC平均耗时：3268ms（大于阈值：1000ms）,FullGC平均耗时异常,38
33,2019-06-12 09:00:43,主机node_8 **** 请求延时大于5分钟,****请求延时大于5分钟,8
34,2019-06-12 09:00:44,主机node_4 网卡eth0 接收流量持续10分钟平均值大于180M,网卡接收流量过高,4
35,2019-06-12 09:00:46,主机node_43 url:http://node_43:80//访问失败,url80//访问失败,43
36,2019-06-12 09:00:47,主机node_41 ping丢包率当前值为25%，持续2分钟平均大于20%,ping丢包率当前值为25%，持续2分钟平均大于20%,41
37,2019-06-12 09:00:48,主机node_57 空闲交换空间小于50%,空闲交换空间小于50%,57
