,sysEname,time,is_root,trigger,node
0,SYS_3,2019-06-05 17:33:05,0,堆内存平均使用率大于阈值,node_94
1,SYS_9,2019-06-05 17:33:05,0,CPUStealTime持续5分钟超过10%,node_12
2,SYS_6,2019-06-05 17:33:06,0,分区剩余空间小于阀值10%,node_35
3,SYS_2,2019-06-05 17:33:07,0,I/O等待负载持续15分钟超过10%,node_37
4,SYS_5,2019-06-05 17:33:07,0,日志产生ERROR信息,node_65
5,SYS_9,2019-06-05 17:33:07,0,网卡接收流量过高,node_16
6,SYS_9,2019-06-05 17:33:07,0,网卡发送流量过高,node_92
7,SYS_5,2019-06-05 17:33:08,0,网卡发送流量过高,node_82
8,SYS_2,2019-06-05 17:33:08,0,网卡接收流量过高,node_70
9,SYS_2,2019-06-05 17:33:09,1,url80//访问失败,node_37
10,SYS_9,2019-06-05 17:33:09,0,日志中有OutOfMemoryError信息,node_22
11,SYS_3,2019-06-05 17:33:10,0,日志产生ERROR信息,node_3
12,SYS_10,2019-06-05 17:33:13,0,I/O等待负载持续15分钟超过10%,node_52
13,SYS_9,2019-06-05 17:33:13,0,CPUStealTime持续5分钟超过10%,node_66
14,SYS_9,2019-06-05 17:33:13,0,I/O等待负载大于50%,node_22
15,SYS_9,2019-06-05 17:33:13,0,HTTP:http慢响应,node_12
16,SYS_9,2019-06-05 17:33:13,0,I/O等待负载持续15分钟超过10%,node_44
17,SYS_10,2019-06-05 17:33:13,0,CPU利用率过高,node_40
18,SYS_3,2019-06-05 17:33:14,0,FullGC平均耗时异常,node_28
19,SYS_3,2019-06-05 17:33:15,0,堆内存平均使用率大于阈值,node_94
20,SYS_1,2019-06-05 17:33:16,0,CPU利用率过高,node_50
21,SYS_2,2019-06-05 17:33:16,0,"ping丢包率100%,服务器宕机",node_45
22,SYS_9,2019-06-05 17:33:17,0,网卡发送流量过高,node_92
23,SYS_5,2019-06-05 17:33:17,0,日志产生ERROR信息,node_65
24,SYS_5,2019-06-05 17:33:18,0,网卡发送流量过高,node_82
25,SYS_4,2019-06-05 17:33:18,0,CPUStealTime持续5分钟超过10%,node_81
26,SYS_2,2019-06-05 17:33:19,1,url80//访问失败,node_37
27,SYS_6,2019-06-05 17:33:19,0,I/O等待负载大于50%,node_46
28,SYS_1,2019-06-05 17:33:20,0,****请求延时大于5分钟,node_33
