,sysEname,time,is_root,trigger,node
0,SYS_4,2019-06-07 11:06:25,0,网卡发送流量过高,node_81
1,SYS_5,2019-06-07 11:06:25,0,CPU利用率过高,node_2
2,SYS_9,2019-06-07 11:06:28,0,堆内存平均使用率大于阈值,node_80
3,SYS_7,2019-06-07 11:06:28,0,硬盘Slot00状态为Failed,node_23
4,SYS_3,2019-06-07 11:06:28,0,日志产生ERROR信息,node_97
5,SYS_10,2019-06-07 11:06:29,0,磁盘I/O异常,node_29
6,SYS_2,2019-06-07 11:06:29,0,网卡发送流量过高,node_99
7,SYS_8,2019-06-07 11:06:29,1,端口8080通信异常,node_79
8,SYS_2,2019-06-07 11:06:30,0,堆内存平均使用率大于阈值,node_70
9,SYS_5,2019-06-07 11:06:31,0,网卡接收流量过高,node_60
10,SYS_4,2019-06-07 11:06:32,0,ping延迟时间持续3分钟大于100ms,node_9
11,SYS_6,2019-06-07 11:06:32,0,****请求延时大于5分钟,node_1
12,SYS_5,2019-06-07 11:06:32,0,分区剩余空间小于阀值10%,node_85
13,SYS_8,2019-06-07 11:06:34,0,I/O等待负载大于50%,node_43
14,SYS_8,2019-06-07 11:06:34,0,HTTP:http慢响应,node_88
15,SYS_8,2019-06-07 11:06:34,0,空闲交换空间小于50%,node_88
16,SYS_2,2019-06-07 11:06:35,0,网卡接收流量过高,node_21
17,SYS_5,2019-06-07 11:06:35,0,CPU利用率过高,node_2
18,SYS_10,2019-06-07 11:06:36,0,****请求延时大于5分钟,node_40
19,SYS_2,2019-06-07 11:06:36,0,ping延迟时间持续3分钟大于100ms,node_7
20,SYS_10,2019-06-07 11:06:39,0,磁盘I/O异常,node_29
21,SYS_8,2019-06-07 11:06:40,0,CPUStealTime持续5分钟超过10%,node_10
22,SYS_4,2019-06-07 11:06:40,0,硬盘Slot00状态为Failed,node_5
23,SYS_8,2019-06-07 11:06:40,0,I/O等待负载大于50%,node_84
24,SYS_8,2019-06-07 11:06:40,0,网卡接收流量过高,node_10
25,SYS_8,2019-06-07 11:06:40,0,CPU利用率过高,node_49
26,SYS_8,2019-06-07 11:06:40,0,I/O等待负载大于50%,node_95
27,SYS_9,2019-06-07 11:06:41,0,端口6060通信异常,node_22
28,SYS_4,2019-06-07 11:06:42,0,ping延迟时间持续3分钟大于100ms,node_9
29,SYS_5,2019-06-07 11:06:42,0,分区剩余空间小于阀值10%,node_85
30,SYS_7,2019-06-07 11:06:43,0,磁盘I/O异常,node_63
31,SYS_4,2019-06-07 11:06:44,0,ping延迟时间持续3分钟大于100ms,node_34
32,SYS_4,2019-06-07 11:06:47,0,HTTP:http慢响应,node_27
33,SYS_4,2019-06-07 11:06:49,0,端口6060通信异常,node_62
34,SYS_8,2019-06-07 11:06:50,0,I/O等待负载大于50%,node_95
35,SYS_8,2019-06-07 11:06:50,0,I/O等待负载大于50%,node_84
36,SYS_8,2019-06-07 11:06:50,0,CPU利用率过高,node_49
37,SYS_8,2019-06-07 11:06:50,0,CPUStealTime持续5分钟超过10%,node_10
38,SYS_4,2019-06-07 11:06:51,0,JBOSS8080端口的连接数大于400,node_13
39,SYS_1,2019-06-07 11:06:51,0,ping丢包率当前值为25%，持续2分钟平均大于20%,node_15
40,SYS_6,2019-06-07 11:06:51,0,**application停止运行,node_59
41,SYS_4,2019-06-07 11:06:51,0,网卡发送流量过高,node_19
42,SYS_5,2019-06-07 11:06:51,0,网卡接收流量过高,node_60
43,SYS_6,2019-06-07 11:06:52,0,I/O等待负载大于50%,node_46
44,SYS_3,2019-06-07 11:06:53,0,网卡接收流量过高,node_39
45,SYS_6,2019-06-07 11:06:55,0,硬盘Slot00状态为Failed,node_48
46,SYS_2,2019-06-07 11:06:57,0,CPUStealTime持续5分钟超过10%,node_8
47,SYS_2,2019-06-07 11:06:57,0,HTTP:http慢响应,node_91
48,SYS_3,2019-06-07 11:06:57,0,HTTP:http慢响应,node_39
49,SYS_3,2019-06-07 11:06:57,0,CPU利用率过高,node_86
50,SYS_2,2019-06-07 11:06:57,0,I/O等待负载持续15分钟超过10%,node_99
51,SYS_2,2019-06-07 11:06:57,0,CPUStealTime持续5分钟超过10%,node_7
52,SYS_7,2019-06-07 11:06:58,0,硬盘Slot00状态为Failed,node_23
53,SYS_2,2019-06-07 11:06:59,0,网卡发送流量过高,node_99
54,SYS_4,2019-06-07 11:07:00,0,硬盘Slot00状态为Failed,node_5
55,SYS_5,2019-06-07 11:07:02,0,分区剩余空间小于阀值10%,node_85
56,SYS_4,2019-06-07 11:07:02,0,ping延迟时间持续3分钟大于100ms,node_9
57,SYS_6,2019-06-07 11:07:02,0,****请求延时大于5分钟,node_1
58,SYS_8,2019-06-07 11:07:03,0,CPU利用率过高,node_41
59,SYS_7,2019-06-07 11:07:03,0,磁盘I/O异常,node_63
60,SYS_8,2019-06-07 11:07:03,0,日志产生ERROR信息,node_95
61,SYS_9,2019-06-07 11:07:07,0,I/O等待负载大于50%,node_44
62,SYS_8,2019-06-07 11:07:09,1,端口8080通信异常,node_79
63,SYS_5,2019-06-07 11:07:11,0,网卡接收流量过高,node_60
64,SYS_5,2019-06-07 11:07:12,0,分区剩余空间小于阀值10%,node_85
65,SYS_7,2019-06-07 11:07:13,0,FullGC平均耗时异常,node_54
66,SYS_8,2019-06-07 11:07:14,0,HTTP:http慢响应,node_88
67,SYS_10,2019-06-07 11:07:14,0,硬盘Slot00状态为Failed,node_64
68,SYS_8,2019-06-07 11:07:14,0,I/O等待负载大于50%,node_43
69,SYS_10,2019-06-07 11:07:16,0,****请求延时大于5分钟,node_40
70,SYS_2,2019-06-07 11:07:17,0,CPUStealTime持续5分钟超过10%,node_8
71,SYS_3,2019-06-07 11:07:17,0,HTTP:http慢响应,node_39
72,SYS_2,2019-06-07 11:07:17,0,CPUStealTime持续5分钟超过10%,node_7
73,SYS_3,2019-06-07 11:07:17,0,CPU利用率过高,node_86
74,SYS_2,2019-06-07 11:07:17,0,HTTP:http慢响应,node_91
75,SYS_9,2019-06-07 11:07:17,0,I/O等待负载大于50%,node_44
76,SYS_2,2019-06-07 11:07:17,0,I/O等待负载持续15分钟超过10%,node_99
77,SYS_9,2019-06-07 11:07:21,0,端口6060通信异常,node_22
78,SYS_5,2019-06-07 11:07:21,0,网卡接收流量过高,node_60
79,SYS_6,2019-06-07 11:07:22,0,****请求延时大于5分钟,node_1
80,SYS_4,2019-06-07 11:07:22,0,ping延迟时间持续3分钟大于100ms,node_9
81,SYS_2,2019-06-07 11:07:23,0,url80//访问失败,node_99
82,SYS_8,2019-06-07 11:07:24,0,I/O等待负载大于50%,node_43
83,SYS_8,2019-06-07 11:07:24,0,HTTP:http慢响应,node_88
84,SYS_1,2019-06-07 11:07:27,0,磁盘I/O异常,node_4
