,sysEname,time,is_root,trigger,node
0,SYS_5,2019-06-26 19:35:59,0,CPU利用率过高,node_60
1,SYS_3,2019-06-26 19:36:00,0,url8080访问失败,node_20
2,SYS_9,2019-06-26 19:36:01,0,CPU利用率过高,node_75
3,SYS_4,2019-06-26 19:36:01,0,url8080访问失败,node_27
4,SYS_1,2019-06-26 19:36:01,0,硬盘Slot00状态为Failed,node_58
5,SYS_1,2019-06-26 19:36:02,0,ping延迟时间持续3分钟大于100ms,node_83
6,SYS_7,2019-06-26 19:36:04,1,日志报错:无法获取连接,node_53
7,SYS_9,2019-06-26 19:36:04,0,网卡接收流量过高,node_80
8,SYS_1,2019-06-26 19:36:06,0,**application停止运行,node_17
9,SYS_4,2019-06-26 19:36:07,0,网卡发送流量过高,node_9
10,SYS_2,2019-06-26 19:36:07,0,网卡发送流量过高,node_91
11,SYS_6,2019-06-26 19:36:09,0,网卡发送流量过高,node_32
12,SYS_5,2019-06-26 19:36:09,0,端口80通信异常,node_6
13,SYS_5,2019-06-26 19:36:13,0,CPU利用率过高,node_82
14,SYS_1,2019-06-26 19:36:13,0,I/O等待负载大于50%,node_15
15,SYS_5,2019-06-26 19:36:13,0,HTTP:http慢响应,node_74
16,SYS_7,2019-06-26 19:36:14,1,日志报错:无法获取连接,node_53
17,SYS_9,2019-06-26 19:36:15,0,分区剩余空间小于阀值10%,node_66
18,SYS_6,2019-06-26 19:36:16,0,I/O等待负载持续15分钟超过10%,node_48
19,SYS_1,2019-06-26 19:36:17,0,I/O等待负载大于50%,node_0
20,SYS_5,2019-06-26 19:36:17,0,url80//访问失败,node_2
21,SYS_5,2019-06-26 19:36:17,0,ping延迟时间持续3分钟大于100ms,node_26
22,SYS_5,2019-06-26 19:36:17,0,HTTP:http慢响应,node_14
23,SYS_1,2019-06-26 19:36:17,0,HTTP:http慢响应,node_50
24,SYS_2,2019-06-26 19:36:17,0,网卡发送流量过高,node_91
25,SYS_1,2019-06-26 19:36:17,0,ping延迟时间持续3分钟大于100ms,node_58
26,SYS_6,2019-06-26 19:36:19,0,**application停止运行,node_56
27,SYS_6,2019-06-26 19:36:19,0,网卡发送流量过高,node_32
28,SYS_1,2019-06-26 19:36:20,0,日志中有Noroutetohost信息,node_4
29,SYS_7,2019-06-26 19:36:24,1,日志报错:无法获取连接,node_53
30,SYS_9,2019-06-26 19:36:25,0,日志产生ERROR信息,node_92
31,SYS_3,2019-06-26 19:36:26,0,硬盘Slot00状态为Failed,node_57
32,SYS_2,2019-06-26 19:36:27,0,网卡发送流量过高,node_91
33,SYS_8,2019-06-26 19:36:28,0,****请求延时大于5分钟,node_41
