,sysEname,time,is_root,trigger,node
0,SYS_6,2019-06-01 09:31:11,0,端口6060通信异常,node_56
1,SYS_5,2019-06-01 09:31:11,0,CPUStealTime持续5分钟超过10%,node_14
2,SYS_3,2019-06-01 09:31:12,0,日志产生ERROR信息,node_86
3,SYS_2,2019-06-01 09:31:12,0,网卡流量unknown,node_70
4,SYS_8,2019-06-01 09:31:16,1,硬盘Slot00状态为Failed,node_79
5,SYS_4,2019-06-01 09:31:17,0,网卡发送流量过高,node_5
6,SYS_8,2019-06-01 09:31:17,0,网卡接收流量过高,node_49
7,SYS_8,2019-06-01 09:31:18,0,I/O等待负载大于50%,node_88
8,SYS_8,2019-06-01 09:31:18,0,I/O等待负载大于50%,node_43
9,SYS_8,2019-06-01 09:31:18,0,日志产生ERROR信息,node_41
10,SYS_2,2019-06-01 09:31:19,0,FullGC平均耗时异常,node_55
11,SYS_4,2019-06-01 09:31:20,0,端口6060通信异常,node_13
12,SYS_4,2019-06-01 09:31:21,0,端口6060通信异常,node_36
13,SYS_2,2019-06-01 09:31:22,0,网卡流量unknown,node_70
14,SYS_3,2019-06-01 09:31:22,0,日志产生ERROR信息,node_86
15,SYS_8,2019-06-01 09:31:24,0,CPU利用率过高,node_95
16,SYS_8,2019-06-01 09:31:26,1,硬盘Slot00状态为Failed,node_79
17,SYS_4,2019-06-01 09:31:27,0,网卡发送流量过高,node_5
18,SYS_8,2019-06-01 09:31:28,0,I/O等待负载大于50%,node_43
19,SYS_8,2019-06-01 09:31:28,0,I/O等待负载大于50%,node_88
20,SYS_8,2019-06-01 09:31:28,0,日志产生ERROR信息,node_41
21,SYS_2,2019-06-01 09:31:29,0,I/O等待负载大于50%,node_45
22,SYS_2,2019-06-01 09:31:32,0,网卡流量unknown,node_70
23,SYS_5,2019-06-01 09:31:33,0,CPU利用率过高,node_6
24,SYS_6,2019-06-01 09:31:36,0,I/O等待负载大于50%,node_98
25,SYS_8,2019-06-01 09:31:36,1,硬盘Slot00状态为Failed,node_79
26,SYS_5,2019-06-01 09:31:37,0,空闲交换空间小于50%,node_65
27,SYS_7,2019-06-01 09:31:37,0,硬盘Slot00状态为Failed,node_89
28,SYS_2,2019-06-01 09:31:38,0,FullGC平均耗时异常,node_37
29,SYS_10,2019-06-01 09:31:39,0,I/O等待负载大于50%,node_64
30,SYS_9,2019-06-01 09:31:39,0,网卡接收流量过高,node_75
31,SYS_6,2019-06-01 09:31:42,0,I/O等待负载持续15分钟超过10%,node_67
32,SYS_1,2019-06-01 09:31:43,0,日志报错:无法获取连接,node_93
33,SYS_4,2019-06-01 09:31:43,0,CPU利用率过高,node_34
34,SYS_8,2019-06-01 09:31:44,0,I/O等待负载大于50%,node_95
35,SYS_8,2019-06-01 09:31:44,0,I/O等待负载持续15分钟超过10%,node_10
36,SYS_5,2019-06-01 09:31:44,0,网卡发送流量过高,node_2
37,SYS_8,2019-06-01 09:31:44,0,ping延迟时间持续3分钟大于100ms,node_49
38,SYS_4,2019-06-01 09:31:44,0,网卡接收流量过高,node_77
39,SYS_8,2019-06-01 09:31:44,0,ping延迟时间持续3分钟大于100ms,node_84
40,SYS_7,2019-06-01 09:31:46,0,日志中有Noroutetohost信息,node_63
41,SYS_8,2019-06-01 09:31:46,1,硬盘Slot00状态为Failed,node_79
42,SYS_2,2019-06-01 09:31:46,0,日志产生ERROR信息,node_7
43,SYS_2,2019-06-01 09:31:46,0,日志报错:无法获取连接,node_99
