,sysEname,time,is_root,trigger,node
0,SYS_2,2019-06-10 12:21:25,0,日志报错:无法获取连接,node_37
1,SYS_1,2019-06-10 12:21:26,1,url80//访问失败,node_73
2,SYS_1,2019-06-10 12:21:28,0,I/O等待负载持续15分钟超过10%,node_0
3,SYS_1,2019-06-10 12:21:28,0,CPU利用率过高,node_58
4,SYS_9,2019-06-10 12:21:29,0,网卡发送流量过高,node_12
5,SYS_2,2019-06-10 12:21:29,0,堆内存平均使用率大于阈值,node_8
6,SYS_6,2019-06-10 12:21:34,0,堆内存平均使用率大于阈值,node_67
7,SYS_4,2019-06-10 12:21:36,0,HTTP:http慢响应,node_69
8,SYS_4,2019-06-10 12:21:36,0,I/O等待负载持续15分钟超过10%,node_5
9,SYS_4,2019-06-10 12:21:36,0,CPU利用率过高,node_13
10,SYS_4,2019-06-10 12:21:36,0,I/O等待负载持续15分钟超过10%,node_27
11,SYS_1,2019-06-10 12:21:37,0,HTTP:http慢响应,node_0
12,SYS_5,2019-06-10 12:21:38,0,**application停止运行,node_14
13,SYS_9,2019-06-10 12:21:39,0,网卡发送流量过高,node_12
14,SYS_6,2019-06-10 12:21:40,0,日志中有OutOfMemoryError信息,node_98
15,SYS_8,2019-06-10 12:21:40,0,日志中有Noroutetohost信息,node_43
16,SYS_9,2019-06-10 12:21:41,0,"ping丢包率100%,服务器宕机",node_68
17,SYS_8,2019-06-10 12:21:43,0,CPUStealTime持续5分钟超过10%,node_84
18,SYS_1,2019-06-10 12:21:43,0,网卡发送流量过高,node_83
19,SYS_6,2019-06-10 12:21:43,0,CPU利用率过高,node_1
20,SYS_1,2019-06-10 12:21:46,1,url80//访问失败,node_73
21,SYS_4,2019-06-10 12:21:46,0,I/O等待负载持续15分钟超过10%,node_5
22,SYS_4,2019-06-10 12:21:46,0,CPU利用率过高,node_13
23,SYS_1,2019-06-10 12:21:46,0,网卡接收流量过高,node_15
24,SYS_4,2019-06-10 12:21:46,0,I/O等待负载持续15分钟超过10%,node_27
25,SYS_4,2019-06-10 12:21:46,0,HTTP:http慢响应,node_69
26,SYS_1,2019-06-10 12:21:48,0,ping延迟时间持续3分钟大于100ms,node_33
27,SYS_7,2019-06-10 12:21:48,0,JBOSS8080端口的连接数大于400,node_23
28,SYS_1,2019-06-10 12:21:48,0,CPU利用率过高,node_4
29,SYS_1,2019-06-10 12:21:48,0,CPUStealTime持续5分钟超过10%,node_83
30,SYS_4,2019-06-10 12:21:49,0,日志产生ERROR信息,node_81
31,SYS_1,2019-06-10 12:21:49,0,硬盘Slot00状态为Failed,node_73
32,SYS_10,2019-06-10 12:21:51,0,CPU利用率过高,node_40
33,SYS_6,2019-06-10 12:21:53,0,CPU利用率过高,node_1
